distance,altitude,link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
32,6,1to2,36,34,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,4,12.6,10.13333333,-15.33333333,0.596284794,26,33,41.3774894,-79.02273282,120.4002222
32,6,1to2,36,35,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,5,12.73333333,10.2,-13.2,1.833030278,26,33,41.3774894,-78.90646236,120.2839518
32,6,1to2,36,36,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,2,5,20.73333333,15.4,-9.533333333,2.777688887,26,33,41.3774894,-69.8848841,111.2623735
32,6,1to2,36,37,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,1,10,20.06666667,15.26666667,-12.93333333,1.289271974,26,33,41.3774894,-69.56527753,110.9427669
32,6,1to2,36,38,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,7,10.53333333,8.866666667,-13.86666667,0.805536398,26,33,41.3774894,-80.78112661,122.158616
32,6,1to2,36,39,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,2,11,13.93333333,10.93333333,-13.2,1.107549848,26,33,41.3774894,-77.54926692,118.9267563
32,6,1to2,36,40,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,6,10.66666667,8.466666667,-15.4,1.818424226,26,33,41.3774894,-80.62432064,122.00181
32,6,1to2,36,41,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,11,4.466666667,4.466666667,-16.33333333,1.577621275,26,33,41.3774894,-86.76005286,128.1375423
32,6,1to2,37,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,8,10.46666667,7.266666667,-11.66666667,2.241031509,27,33,41.32210397,-80.61101205,121.933116
32,6,1to2,37,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,4,5,2.866666667,3.8,-15.53333333,1.257864151,27,33,41.32210397,-88.07717345,129.3992774
32,6,1to2,37,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,8,8.4,7,-14.46666667,0.498887652,27,33,41.32210397,-81.79255481,123.1146588
32,6,1to2,37,4,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,12,3.666666667,3.733333333,-14.73333333,2.619584361,27,33,41.32210397,-86.75444008,128.0765441
32,6,1to2,37,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,9,7.2,6,-14.4,0.611010093,27,33,41.32210397,-82.44420297,123.7663069
32,6,1to2,37,6,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,11,4.666666667,4.733333333,-14.66666667,1.192569588,27,33,41.32210397,-85.54351036,126.8656143
32,6,1to2,37,9,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,4,6,2.333333333,2.733333333,-13.86666667,1.667999467,27,33,41.32210397,-87.82635843,129.1484624
32,6,1to2,37,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,6,10.86666667,8.266666667,-14.73333333,0.573488351,27,33,41.32210397,-80.44205173,121.7641557
32,6,1to2,37,33,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,2,9,16,13.06666667,-12.6,1.356465997,27,33,41.32210397,-74.798256,116.12036
32,6,1to2,37,34,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,2,9,17.06666667,14,-11.2,0.4,27,33,41.32210397,-74.08491454,115.4070185
32,6,1to2,37,35,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,2,9,15.53333333,12.53333333,-13.86666667,0.618241233,27,33,41.32210397,-75.42093097,116.7430349
32,6,1to2,37,36,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,0,11,20.93333333,16.13333333,-17.93333333,0.249443826,27,33,41.32210397,-64.71557841,106.0376824
32,6,1to2,37,37,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,1,5,23.2,17.73333333,-12.26666667,0.573488351,27,33,41.32210397,-64.28591769,105.6080217
32,6,1to2,37,38,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,2,11,13.93333333,11.8,-13.66666667,0.869226987,27,33,41.32210397,-77.80222892,119.1243329
